gene	PAPmneg1	PAPmneg2	PAPmpos1	PAPmpos2	SCCmneg1	SCCmneg2	SCCmpos1	SCCmpos2
0610005C13Rik	0	0	0	0	1.029	0	0	1
0610006L08Rik	0	0	0	0	0	0	0	0
0610009B22Rik	426.989	405	766.349	423.834	460.076	585.087	499.487	605.457
0610009E02Rik	16.394	2	175.23	15.194	259.56	83.479	7.153	5.58
0610009L18Rik	11	4	6	4	27	6	30	5
0610009O20Rik	614.255	753.149	516.644	693.588	714.325	824.571	873.527	979.079
0610010F05Rik	606	400.001	875.001	626.001	563	781	1045	1122
0610010K14Rik	817.46	800.355	879.363	628.056	867.07	996.864	908.134	969.592
0610012D04Rik	3	0	1	0	7	0	2	0
0610012G03Rik	829.99	740.959	884	716	1278	916.997	1126	975
0610025J13Rik	0	0	0	0	0	0	0	0
0610030E20Rik	886.931	826.35	1011.236	793.407	595.852	799.693	855.848	784.157
0610031O16Rik	2	1	0	0	0	0	0	0
0610033M10Rik	1	0	0	0	1	0	0	0
0610037L13Rik	758.999	698.999	1052	746.002	799	918	793.999	915.001
0610038B21Rik	33.105	11.241	18.062	11.026	27.019	16	28	30.167
0610039K10Rik	4.068	1.01	2.023	5.997	4.045	5.097	5.107	4.087
0610040B10Rik	8	4	12.013	4	20.039	11.556	20	9
0610040F04Rik	10.079	14.069	58.115	19.017	3	34.135	7.069	30.162
0610040J01Rik	0	0	1	5	10	1	3	0
0610043K17Rik	0	0	0	0	2	0	5	0
1010001B22Rik	2	2	1	4	8	3.957	6	5
1010001N08Rik	0	0	0	0	0	0	0	0
1110002E22Rik	19	18	18	36	4	16	7	14
1110002J07Rik	3	4	0	1	3	3	9	2
1110002L01Rik	109.109	114.546	210.663	165.007	66.407	169.525	89.28	215.293
1110002O04Rik	0	0	0	0	0	0	0	0
1110003F10Rik	3	12	9	7	4	2	4	2
1110004E09Rik	803.657	678.813	751.081	615.878	914.451	976.618	952.198	1058.46
1110004F10Rik	3641.408	2892.001	4471.529	2589.001	4508.862	3949.971	4882.915	3947
1110006O24Rik	23	11	5	16	42	12	44	9
1110008E08Rik	0	0	0	0	0	0	0	0
1110008F13Rik	2753.013	2644.951	3561.673	2459.426	3795.669	3286.415	3606.89	3485.387
1110008L16Rik	419.955	349.943	498.157	300.366	427.738	408.107	522.78	439.688
1110008P14Rik	817.129	635.646	1145.264	847.809	902.039	781.071	977.387	933.58
1110012L19Rik	484	435	528	412.873	767	426	691	487.748
1110015O18Rik	0	0	0	0	0	0	0	0
1110017D15Rik	0	0	1	0	2	0	2	0
1110018N20Rik	0	0	1	0	1	0	0	0
1110019B22Rik	0	0	0	0	0	0	0	0
1110019D14Rik	1	0	3	1	1	1	2	1
1110020A21Rik	11	3.822	10	9	13.871	7	11.215	2.832
1110025L11Rik	0	0	0	0	0	0	0	0
1110025M09Rik	14	4	6	3	18	5	22	8
1110028F11Rik	5	3	7	8	5	5	6	12
1110028F18Rik	0	1	8	0	0	1	0	0
1110032A03Rik	216.932	144.894	253.455	117.93	281.983	117.692	318.693	146.525
1110032F04Rik	4	20	0	11	5	1	0	0
1110034G24Rik	106.999	77	113	72	122	85	103.999	77
1110035H17Rik	5.832	12.05	4.033	3.121	19.839	3.633	8.363	0
1110038B12Rik	1237	1116.981	1841	1053	1207.001	1226.001	1364	1448.163
1110038F14Rik	220.745	172.893	215.321	196.022	89.081	227.62	195.773	121.091
1110046J04Rik	19.493	9.78	41	21.012	23.448	22.646	27	36
1110051M20Rik	375.153	239.435	260.778	128.223	393.36	189.159	324.126	137.216
1110057P08Rik	0	0	0	0	0	0	0	0
1110059E24Rik	899	675	1389.001	771	837	1077	902	1154
1110059G10Rik	454.006	375.014	640	358	533	486.612	625	497.024
1110060G06Rik	0	0	0	0	0	0	0	0
1110065P20Rik	396.676	475.626	383.143	376.095	881.853	384.454	891.526	442.354
1190001M18Rik	15	24	9	6	18	8	12	8
1190002N15Rik	487	297	368	297	408	392	600	348
1190005I06Rik	12.124	15	17.82	4.657	59.733	11	66.694	11
1190007I07Rik	62.097	66.036	101.239	50.258	80.59	118.646	94.264	91.915
1190028D05Rik	0	0	0	0	0	0	0	0
1200007C13Rik	4	11	15	19	20	9	10	7
1300002E11Rik	194.07	147.846	325.676	183.027	166.173	221.466	232.699	245.361
1300014J16Rik	3	5	5	3	6	3	4	4
1300017J02Rik	0	1	3	0	2	1	4	0
1500002C15Rik	32.98	29.535	52.161	15.357	24.352	24.709	31.341	23.1
1500002F19Rik	4.386	0	4.622	1.175	22.54	1	20.98	1.186
1500004A13Rik	304.837	178.771	215.431	184.909	212.308	176.096	238.475	167.852
1500005C15Rik	1	0	8	2	1	2	0	0
1500009C09Rik	2	2	3	0	5	1	2	0
1500009L16Rik	57	42	70	30	57	42	81	42
